,PostalCode,Subdistricts,Regency,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,Cluster Labels
34,10640,CEMPAKA BARU,JAKARTA PUSAT,Coffee Shop,Wine Bar,Food Truck,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,Chinese Restaurant,2
35,10640,HARAPAN MULYA,JAKARTA PUSAT,Coffee Shop,Wine Bar,Food Truck,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,Chinese Restaurant,2
36,10640,SUMUR BATU,JAKARTA PUSAT,Coffee Shop,Wine Bar,Food Truck,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,Chinese Restaurant,2
