KAMPUNG BALI,Food Court,6.5
CIDENG,Seafood Restaurant,6.5
PEGANGSAAN,Food Truck,6.45
CIDENG,Café,6.4
CIDENG,Chinese Restaurant,6.4
KAMPUNG BALI,Betawinese Restaurant,6.4
KARET TENGSIN,Food Court,6.4
KARET TENGSIN,Bed & Breakfast,6.4
PETOJO UTARA,Café,6.4
DURI PULO,Café,6.35
KARET TENGSIN,Chinese Restaurant,6.3
DURI PULO,Indonesian Restaurant,6.3
PEGANGSAAN,Donut Shop,6.3
PETOJO SELATAN,BBQ Joint,6.3
KAMPUNG BALI,Fast Food Restaurant,6.2
PETOJO UTARA,Japanese Restaurant,6.2
PETOJO SELATAN,Food Court,6.1
PETOJO SELATAN,Food Truck,6.1
GAMBIR,Cupcake Shop,6.1
GAMBIR,Indonesian Restaurant,6.0
KEBON MELATI,Soup Place,6.0
GAMBIR,Fast Food Restaurant,5.95
GAMBIR,Soup Place,5.9
PETOJO SELATAN,Noodle House,5.9
PETOJO SELATAN,Restaurant,5.9
DURI PULO,Indian Restaurant,5.9
PETOJO UTARA,American Restaurant,5.9
DURI PULO,Noodle House,5.800000000000001
KEBON MELATI,Indonesian Meatball Place,5.6
GAMBIR,Japanese Restaurant,5.6
