,PostalCode,Subdistricts,Regency,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,Cluster Labels
0,10110,GAMBIR,JAKARTA PUSAT,Indonesian Restaurant,Fast Food Restaurant,Food Truck,Soup Place,Cupcake Shop,Coffee Shop,Noodle House,Japanese Restaurant,Wine Bar,Chinese Restaurant,0
6,10210,BENDUNGAN HILIR,JAKARTA PUSAT,Indonesian Restaurant,Pizza Place,Acehnese Restaurant,Food Truck,Soup Place,Snack Place,Restaurant,Coffee Shop,Bistro,Café,0
8,10230,KEBON MELATI,JAKARTA PUSAT,Soup Place,Indonesian Meatball Place,Indonesian Restaurant,Wine Bar,Chinese Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,0
10,10250,KAMPUNG BALI,JAKARTA PUSAT,Indonesian Restaurant,Café,Bed & Breakfast,Fast Food Restaurant,Food Truck,Betawinese Restaurant,Food Court,Asian Restaurant,Beer Garden,Bakery,0
11,10260,PETAMBURAN,JAKARTA PUSAT,Indonesian Restaurant,Middle Eastern Restaurant,Coffee Shop,Indonesian Meatball Place,Food Truck,Asian Restaurant,Bakery,Cupcake Shop,Dumpling Restaurant,Donut Shop,0
14,10320,PEGANGSAAN,JAKARTA PUSAT,Indonesian Restaurant,Food Truck,Coffee Shop,Café,Fast Food Restaurant,Donut Shop,Asian Restaurant,Snack Place,Vietnamese Restaurant,Restaurant,0
19,10420,KWITANG,JAKARTA PUSAT,Indonesian Restaurant,Noodle House,Fast Food Restaurant,Asian Restaurant,BBQ Joint,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,American Restaurant,Dessert Shop,0
22,10450,KRAMAT,JAKARTA PUSAT,Indonesian Restaurant,Noodle House,Donut Shop,Café,Dumpling Restaurant,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,Coffee Shop,Chinese Restaurant,0
25,10520,CEMPAKA PUTIH BARAT,JAKARTA PUSAT,Indonesian Restaurant,Café,Steakhouse,Indonesian Meatball Place,Bistro,Chinese Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,0
26,10530,GALUR,JAKARTA PUSAT,Indonesian Restaurant,Café,Steakhouse,Chinese Restaurant,Wine Bar,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,0
27,10540,TANAH TINGGI,JAKARTA PUSAT,Indonesian Restaurant,Pizza Place,Noodle House,Café,Coffee Shop,Asian Restaurant,Indonesian Meatball Place,Fast Food Restaurant,Wine Bar,Donut Shop,0
29,10560,JOHAR BARU,JAKARTA PUSAT,Fast Food Restaurant,Wine Bar,Food Truck,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,Coffee Shop,Chinese Restaurant,0
31,10610,GUNUNG SAHARI SELATAN,JAKARTA PUSAT,Indonesian Restaurant,Wine Bar,Chinese Restaurant,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,Coffee Shop,0
44,11110,PINANGSIA,JAKARTA BARAT,Café,Indonesian Restaurant,Fast Food Restaurant,Seafood Restaurant,Coffee Shop,Chinese Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,0
